实例,算法,迭代次数,解,适应度值,开始时间,最快时间,结束时间,运行时间,最快最佳结果时间,备注
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:36:42.900441,2025-03-30 20:36:43.532719,2025-03-30 20:36:50.413378,7.512937,0.632278,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:36:50.592485,2025-03-30 20:36:52.715885,2025-03-30 20:36:58.055995,7.46351,2.1234,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:36:58.225325,2025-03-30 20:36:58.880690,2025-03-30 20:37:05.593890,7.368565,0.655365,None
O7-maoyan,遗传算法,70,"[[1, 4], [3, 7, 5, 6, 2]]",141.94719687092567,2025-03-30 20:37:05.761184,2025-03-30 20:37:06.387525,2025-03-30 20:37:13.108851,7.347667,0.626341,None
O7-maoyan,遗传算法,70,"[[4, 1], [2, 6, 5, 7, 3]]",141.94719687092567,2025-03-30 20:37:13.287516,2025-03-30 20:37:20.688635,2025-03-30 20:37:20.914851,7.627335,7.401119,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:37:21.083815,2025-03-30 20:37:21.644844,2025-03-30 20:37:28.684332,7.600517,0.561029,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:37:28.851886,2025-03-30 20:37:31.577903,2025-03-30 20:37:36.382084,7.530198,2.726017,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:37:36.556375,2025-03-30 20:37:39.591787,2025-03-30 20:37:44.254394,7.698019,3.035412,None
O7-maoyan,遗传算法,70,"[[1, 4], [3, 7, 6, 5, 2]]",143.9302477183833,2025-03-30 20:37:44.425580,2025-03-30 20:37:49.513506,2025-03-30 20:37:52.033898,7.608318,5.087926,None
O7-maoyan,遗传算法,70,"[[4, 1], [2, 6, 5, 7, 3]]",141.94719687092567,2025-03-30 20:37:52.190453,2025-03-30 20:37:55.554248,2025-03-30 20:37:59.884044,7.693591,3.363795,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:38:00.061042,2025-03-30 20:38:05.154258,2025-03-30 20:38:07.692017,7.630975,5.093216,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:38:07.860350,2025-03-30 20:38:10.918482,2025-03-30 20:38:15.719940,7.85959,3.058132,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:38:15.897131,2025-03-30 20:38:18.785147,2025-03-30 20:38:23.687393,7.790262,2.888016,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:38:23.867569,2025-03-30 20:38:30.319765,2025-03-30 20:38:31.515321,7.647752,6.452196,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:38:31.688876,2025-03-30 20:38:32.099252,2025-03-30 20:38:39.340556,7.65168,0.410376,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:38:39.511386,2025-03-30 20:38:41.988510,2025-03-30 20:38:47.358102,7.846716,2.477124,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:38:47.530313,2025-03-30 20:38:53.579010,2025-03-30 20:38:55.267731,7.737418,6.048697,None
O7-maoyan,遗传算法,70,"[array([3, 7, 5, 6, 2]), array([1, 4])]",141.94719687092567,2025-03-30 20:38:55.448356,2025-03-30 20:38:56.292605,2025-03-30 20:39:03.266619,7.818263,0.844249,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:39:03.418946,2025-03-30 20:39:06.317308,2025-03-30 20:39:11.180869,7.761923,2.898362,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:39:11.354489,2025-03-30 20:39:11.919143,2025-03-30 20:39:18.888507,7.534018,0.564654,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:39:19.062139,2025-03-30 20:39:19.740636,2025-03-30 20:39:26.871101,7.808962,0.678497,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:39:27.028204,2025-03-30 20:39:31.927808,2025-03-30 20:39:34.802185,7.773981,4.899604,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:39:34.976387,2025-03-30 20:39:38.257592,2025-03-30 20:39:42.775132,7.798745,3.281205,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:39:42.971395,2025-03-30 20:39:43.291298,2025-03-30 20:39:50.864725,7.89333,0.319903,None
O7-maoyan,遗传算法,70,"[[2, 7, 5, 6, 3], [1, 4]]",145.94719687092567,2025-03-30 20:39:51.040538,2025-03-30 20:39:55.837770,2025-03-30 20:39:58.851801,7.811263,4.797232,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:39:59.047151,2025-03-30 20:40:01.348749,2025-03-30 20:40:06.755369,7.708218,2.301598,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:40:06.928662,2025-03-30 20:40:09.291628,2025-03-30 20:40:14.687019,7.758357,2.362966,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:40:14.861469,2025-03-30 20:40:17.322507,2025-03-30 20:40:22.612857,7.751388,2.461038,None
O7-maoyan,遗传算法,70,"[[4, 1], [2, 6, 5, 7, 3]]",141.94719687092567,2025-03-30 20:40:22.815294,2025-03-30 20:40:28.088533,2025-03-30 20:40:30.499574,7.68428,5.273239,None
O7-maoyan,遗传算法,70,"[[3, 7, 5, 6, 2], [1, 4]]",141.94719687092567,2025-03-30 20:40:30.669471,2025-03-30 20:40:34.164498,2025-03-30 20:40:38.199330,7.529859,3.495027,None
