实例,算法,迭代次数,解,适应度值,开始时间,最快时间,结束时间,运行时间,最快最佳结果时间,备注
Du62,RL+遗传算法,100,"[[40, 56, 57, 50, 11, 30, 32, 21, 43, 36, 18, 60, 2, 28], [49, 27, 16, 52, 35, 38, 12, 24, 44, 31], [58, 47, 51, 42, 19, 53, 1, 26], [41, 34, 5, 29, 3, 59, 61, 55], [46, 39, 8, 48, 62, 25, 20, 4, 6], [10, 7, 13, 14, 23, 22, 45], [17, 54, 33, 15, 37, 9]]",4499155.985129057,2025-04-01 21:18:17.962633,2025-04-01 21:18:19.228272,2025-04-01 21:18:33.584126,15.621493,1.265639,实验
Du62,RL+遗传算法,620,"[[2, 40, 57, 43, 11, 18, 32, 56, 60, 50, 21, 38, 30, 28, 36, 35], [27, 24, 52, 44, 12, 16, 49, 31], [53, 19, 58, 51, 47, 1, 5, 61, 26, 42, 41, 34], [29, 3, 59, 55], [48, 46, 25, 20, 39, 4], [8, 6, 62, 23, 22], [7, 10, 13, 14], [37, 54, 45, 17], [15, 33, 9]]",4476376.307633339,2025-04-01 21:19:02.973028,2025-04-01 21:19:04.116641,2025-04-01 21:20:41.309041,98.336013,1.143613,实验
Du62,RL+遗传算法,620,"[[60, 43, 57, 30, 56, 21, 2, 50, 40, 32, 36, 11], [35, 52, 18, 28, 24, 38, 27, 12, 49, 44, 16, 31, 47, 19, 58, 26], [42, 41, 51, 53, 61, 3, 29, 5, 34, 59, 1, 55], [46, 8, 48, 62, 20, 39, 25, 4, 6], [7, 22, 23, 10, 13], [14, 37, 45, 54], [17, 33, 15, 9]]",4455256.934797742,2025-04-01 21:20:45.270519,2025-04-01 21:20:47.696576,2025-04-01 21:22:23.817781,98.547262,2.426057,实验
