实例,算法,迭代次数,解,适应度值,开始时间,最快时间,结束时间,运行时间,最快最佳结果时间,备注
Du62,模拟退火算法,5513,"[array([48, 14, 17, 30, 55, 24]), array([54, 45, 42,  8, 29, 33, 26, 27, 10,  4]), array([47, 16,  1, 49, 51,  2, 58, 28, 35, 60]), array([13, 41, 59, 32, 38, 37, 20]), array([34, 11, 12, 18, 57, 21]), array([19, 39,  5, 23, 36, 44]), array([ 9, 31, 43, 50, 53, 40, 22,  7]), array([62, 15, 46, 25, 56,  3, 52,  6, 61])]",4479823.329941729,2025-03-28 14:42:06.600945,2025-03-28 14:42:11.593343,2025-03-28 14:42:12.184037,5.583092,4.992398,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([13, 10, 55, 45, 33]), array([36, 17, 28,  7, 40,  6, 14]), array([26, 30, 31, 56, 52, 37, 50]), array([42, 20, 35,  3, 16, 46]), array([41, 47,  9, 29, 12, 27, 53, 11, 51]), array([58, 22,  2, 24, 32, 43, 39, 38, 25]), array([19, 57, 48,  1, 18,  8, 62]), array([23, 44, 61, 21, 15]), array([ 5, 59, 34, 54, 49,  4, 60])]",4462263.064520917,2025-03-28 14:42:12.188216,2025-03-28 14:42:16.204465,2025-03-28 14:42:17.822851,5.634635,4.016249,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([ 9, 37, 48, 35, 60, 53]), array([27, 25, 46, 23, 30, 51]), array([29,  8, 43,  6, 31]), array([54, 56, 44, 58, 36, 12]), array([32, 26, 19, 34, 16, 61, 20, 11]), array([22, 50, 13,  5, 42, 28,  3, 21]), array([57,  7, 14, 45, 52, 17,  1]), array([39, 55, 59, 18, 47, 41, 10, 38]), array([62, 15, 33, 49, 40,  2,  4, 24])]",4512272.431773795,2025-03-28 14:42:17.827543,2025-03-28 14:42:21.372642,2025-03-28 14:42:23.609049,5.781506,3.545099,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([13,  4, 54, 28, 61, 17]), array([20, 24, 42, 26,  1, 50, 51, 15, 30]), array([11, 49,  2, 14, 40, 46]), array([53, 32, 41, 55, 18, 48, 16, 45, 59]), array([36, 19,  6, 56, 37, 52, 35]), array([10, 29, 21, 22, 23, 27, 38,  9]), array([ 5, 57,  3, 62, 25, 60, 47, 12]), array([34, 58, 39,  7,  8, 44, 43, 33, 31])]",4545942.929510878,2025-03-28 14:42:23.613206,2025-03-28 14:42:25.166863,2025-03-28 14:42:29.267743,5.654537,1.553657,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([60, 52, 43, 47, 39,  4]), array([30, 46, 45, 56, 50,  3, 62, 41, 51]), array([21, 35,  5, 24, 58, 16, 10, 11, 28]), array([23, 59, 32, 40, 36, 25]), array([53, 12, 37, 57, 22, 17]), array([55,  1, 42, 33, 49, 29, 48]), array([54, 20, 44, 27, 31, 19,  2, 13]), array([ 6, 18, 61,  8, 38, 14]), array([34,  7, 15, 26,  9])]",4515894.303038611,2025-03-28 14:42:29.271789,2025-03-28 14:42:33.574157,2025-03-28 14:42:34.982865,5.711076,4.302368,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([14, 31, 11, 46, 26, 48]), array([60, 58, 13, 22, 57, 19,  2, 38, 23]), array([10, 56, 21, 18, 37, 29]), array([41, 28, 62, 43, 36, 12, 61, 27,  3,  7]), array([44, 52, 42, 24, 30, 17]), array([50, 33,  9,  1,  8,  5, 53, 47, 32, 35]), array([54, 59, 51, 40, 49, 20]), array([ 4, 39, 55, 25, 16, 34, 15,  6, 45])]",4456285.9567912305,2025-03-28 14:42:34.986823,2025-03-28 14:42:40.432817,2025-03-28 14:42:40.630580,5.643757,5.445994,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([28, 33,  5, 36, 39, 11, 51]), array([10, 13, 23, 30,  2, 24, 25, 17, 21]), array([ 4,  1, 43, 20, 26, 14]), array([34, 56, 38,  3, 57, 61]), array([54, 40, 53, 32, 22,  8, 49, 44]), array([19, 46, 12, 58, 35, 50, 41]), array([52, 27, 29, 16, 47, 60, 42]), array([18,  7, 62, 37, 15, 45]), array([55,  6, 48,  9, 31, 59])]",4500765.689004838,2025-03-28 14:42:40.634504,2025-03-28 14:42:45.437747,2025-03-28 14:42:46.243201,5.608697,4.803243,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([14, 31, 17, 44, 26, 51,  8, 19, 30]), array([43, 62, 48, 49, 24, 42]), array([28, 11, 25, 22, 45]), array([46, 32, 16,  7,  1,  4]), array([40, 53, 35,  2, 58, 39]), array([ 5, 27, 55, 12, 52, 60]), array([59, 21, 56, 54, 18, 37]), array([29, 20,  3, 10, 38, 47, 61]), array([ 6, 23, 41, 57, 50, 36]), array([15, 33, 34,  9, 13])]",4532089.181247726,2025-03-28 14:42:46.247243,2025-03-28 14:42:50.382584,2025-03-28 14:42:51.943433,5.69619,4.135341,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([37,  3, 56, 45, 57, 30, 58, 15]), array([41, 22, 49, 44, 38, 12, 60, 27, 47, 55]), array([35, 19, 18, 40,  2, 24, 43, 25]), array([20,  4, 11, 10, 34]), array([61, 31, 23, 62, 52, 21, 29]), array([32, 17, 36,  1, 50,  8, 51, 54]), array([59, 53,  5, 26, 42, 33, 39]), array([ 7, 16, 14, 13, 28,  6, 48,  9, 46])]",4484689.333471217,2025-03-28 14:42:51.947478,2025-03-28 14:42:54.012032,2025-03-28 14:42:57.568126,5.620648,2.064554,包含修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([52, 47, 15, 26, 28, 27, 36]), array([48, 10, 19, 61, 20,  6, 24]), array([ 7, 13,  5, 45, 42]), array([11, 56, 57,  2, 49, 18]), array([46, 16, 43, 38, 12, 21]), array([34, 29, 22, 53, 39, 33, 44]), array([41, 35,  8, 25, 60,  9]), array([17,  3, 59, 55, 30, 54, 51]), array([62, 14, 31, 50, 40, 58]), array([ 4, 23,  1, 32, 37])]",4516338.892290007,2025-03-28 14:42:57.572049,2025-03-28 14:42:59.366024,2025-03-28 14:43:03.229122,5.657073,1.793975,包含修复动作算子-随机初始解
